feature,importance
services_count,0.6658279864241227
InternetService,0.4502383885040892
internet_no_techsupport,0.4476465157105845
TotalCharges,0.2795889567088429
CLV,0.2791551681929442
PaperlessBilling,0.1864521779634396
MonthlyCharges,0.10358236847353255
PaymentMethod,0.08963053022003473
TechSupport,0.06379589480350654
SeniorCitizen,0.06034359301957121
gender,0.03366015790337325
Partner,0.015603161284949497
monthly_to_total_ratio,0.01285860433439875
MultipleLines,-0.029514892292955695
StreamingMovies,-0.03055475371940897
StreamingTV,-0.07555798647341225
Dependents,-0.12543305521813308
tenure_bucket,-0.13613914145664466
DeviceProtection,-0.13948811565495647
OnlineBackup,-0.22136656540207827
PhoneService,-0.27394504030020866
OnlineSecurity,-0.32205175270726616
Contract,-0.4317075225994817
ExpectedTenure,-0.43170752259949463
tenure,-0.8650125229013257
